Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,70.500000,73.269997,70.430000,72.550003,72.550003,4029500
2021-01-06,72.699997,74.070000,71.139999,72.199997,72.199997,3612500
2021-01-07,72.639999,75.440002,72.639999,73.980003,73.980003,3993700
2021-01-08,74.910004,75.489998,71.959999,72.970001,72.970001,3104200
2021-01-11,71.300003,73.099998,70.849998,72.120003,72.120003,2723400
2021-01-12,72.139999,72.709999,70.809998,72.470001,72.470001,2763100
2021-01-13,71.779999,72.510002,70.769997,72.250000,72.250000,2772100
2021-01-14,73.589996,76.529999,73.370003,75.839996,75.839996,5228200
2021-01-15,75.040001,76.290001,72.870003,72.919998,72.919998,3125000
2021-01-19,74.000000,74.669998,72.459999,73.480003,73.480003,2505600
2021-01-20,74.040001,75.160004,72.269997,72.820000,72.820000,2432300
2021-01-21,72.500000,73.510002,71.019997,72.660004,72.660004,3098400
2021-01-22,71.669998,72.279999,70.660004,71.959999,71.959999,2636600
2021-01-25,70.730003,70.860001,66.910004,68.419998,68.419998,7703000
2021-01-26,69.000000,69.089996,66.480003,66.500000,66.500000,4754600
2021-01-27,65.430000,68.529999,64.339996,66.180000,66.180000,4557600
2021-01-28,69.290001,70.580002,67.449997,69.050003,69.050003,5089900
2021-01-29,68.650002,69.330002,64.260002,65.000000,65.000000,5937800
2021-02-01,65.949997,66.550003,64.660004,65.750000,65.750000,3547900
2021-02-02,67.169998,68.910004,65.839996,68.680000,68.680000,3839200
2021-02-03,69.000000,70.029999,68.309998,69.419998,69.419998,2907700
2021-02-04,70.400002,71.870003,69.879997,70.839996,70.839996,3588800
2021-02-05,71.669998,72.989998,71.029999,71.580002,71.580002,3131300
2021-02-08,72.500000,72.500000,70.580002,70.699997,70.699997,2701200
2021-02-09,70.750000,70.750000,68.309998,68.889999,68.889999,3017000
2021-02-10,69.250000,70.690002,68.540001,68.769997,68.769997,4418300
2021-02-11,69.000000,69.830002,67.410004,67.989998,67.989998,3277700
2021-02-12,66.660004,68.300003,66.650002,67.629997,67.629997,3173500
2021-02-16,69.000000,74.760002,68.379997,74.199997,74.199997,9398900
2021-02-17,73.360001,76.650002,72.489998,75.110001,75.110001,5978000
2021-02-18,74.309998,75.980003,72.900002,75.120003,75.120003,3583600
2021-02-19,76.620003,79.730003,76.500000,78.870003,78.870003,5659900
2021-02-22,79.570000,88.750000,79.010002,86.230003,86.230003,15159300
2021-02-23,87.309998,90.470001,82.769997,90.050003,90.050003,10128200
2021-02-24,91.669998,97.080002,91.620003,96.660004,96.660004,9811100
2021-02-25,98.010002,99.239998,88.510002,91.629997,91.629997,10355800
2021-02-26,91.000000,94.230003,89.269997,93.269997,93.269997,5564400
2021-03-01,92.779999,93.120003,89.709999,91.349998,91.349998,14470200
2021-03-02,92.699997,95.500000,91.989998,93.620003,93.620003,19538300
2021-03-03,94.029999,97.360001,93.930000,94.480003,94.480003,8771600
2021-03-04,96.139999,96.379997,87.889999,91.610001,91.610001,6512100
2021-03-05,89.910004,90.550003,80.550003,86.510002,86.510002,9546100
2021-03-08,87.989998,89.610001,85.239998,87.910004,87.910004,4828500
2021-03-09,89.000000,90.250000,85.400002,89.559998,89.559998,3774800
2021-03-10,90.000000,92.089996,86.459999,87.320000,87.320000,5553700
2021-03-11,88.559998,89.669998,86.300003,87.989998,87.989998,4751600
2021-03-12,87.730003,90.320000,87.650002,90.220001,90.220001,3922600
2021-03-15,92.250000,96.900002,92.000000,94.550003,94.550003,7997300
2021-03-16,93.510002,94.000000,88.339996,89.519997,89.519997,5421100
2021-03-17,89.559998,91.449997,87.919998,91.449997,91.449997,3985800
2021-03-18,91.629997,92.160004,88.220001,88.410004,88.410004,4037300
2021-03-19,88.760002,91.040001,86.529999,90.720001,90.720001,6079500
2021-03-22,89.459999,90.260002,87.849998,88.900002,88.900002,3828000
2021-03-23,87.389999,88.059998,83.040001,83.900002,83.900002,6076400
2021-03-24,86.000000,89.099998,80.559998,81.580002,81.580002,8644500
2021-03-25,80.000000,84.250000,78.860001,83.449997,83.449997,4898100
2021-03-26,84.959999,86.330002,81.680000,84.559998,84.559998,3321400
2021-03-29,84.650002,85.199997,81.599998,82.870003,82.870003,2536100
2021-03-30,83.139999,85.970001,83.059998,85.349998,85.349998,2715700
2021-03-31,85.129997,86.839996,84.440002,85.610001,85.610001,3189700
2021-04-01,86.500000,87.820000,85.480003,86.669998,86.669998,2397600
2021-04-05,89.440002,91.300003,88.720001,89.150002,89.150002,4770900
2021-04-06,89.150002,92.300003,88.580002,90.760002,90.760002,3563100
2021-04-07,93.000000,95.300003,90.900002,91.040001,91.040001,5531500
2021-04-08,90.930000,90.930000,87.430000,89.790001,89.790001,4802300
2021-04-09,89.379997,90.470001,88.669998,89.879997,89.879997,2348800
2021-04-12,89.029999,89.029999,85.730003,87.059998,87.059998,3545300
2021-04-13,84.879997,86.849998,83.599998,86.529999,86.529999,3996000
2021-04-14,86.750000,88.730003,86.360001,86.529999,86.529999,2276300
2021-04-15,87.070000,87.080002,83.849998,84.500000,84.500000,3444500
2021-04-16,85.230003,86.820000,84.699997,85.389999,85.389999,2459100
2021-04-19,85.120003,85.739998,83.410004,83.779999,83.779999,2564200
2021-04-20,83.000000,83.010002,79.029999,81.070000,81.070000,4626900
2021-04-21,81.150002,84.720001,80.050003,84.690002,84.690002,3265900
2021-04-22,84.400002,86.550003,83.610001,84.180000,84.180000,2982200
2021-04-23,84.650002,85.959999,83.279999,85.809998,85.809998,2512100
2021-04-26,87.400002,88.839996,86.669998,86.940002,86.940002,2229500
2021-04-27,87.010002,88.220001,85.820000,87.629997,87.629997,2112200
2021-04-28,87.260002,88.430000,86.589996,87.470001,87.470001,1943400
2021-04-29,90.059998,92.449997,84.720001,84.900002,84.900002,6561300
2021-04-30,84.150002,87.470001,83.809998,86.949997,86.949997,3741200
2021-05-03,87.459999,88.690002,86.690002,87.910004,87.910004,2749100
2021-05-04,87.000000,87.099998,82.930000,83.989998,83.989998,4689900
2021-05-05,84.080002,84.800003,82.400002,83.000000,83.000000,3109800
2021-05-06,83.110001,83.870003,79.019997,80.699997,80.699997,5478700
2021-05-07,81.089996,84.559998,80.449997,84.290001,84.290001,3668900
2021-05-10,83.900002,84.860001,83.029999,83.930000,83.930000,3584500
2021-05-11,81.379997,82.970001,79.830002,81.279999,81.279999,3634800
2021-05-12,80.120003,81.000000,77.800003,78.050003,78.050003,3686600
2021-05-13,78.839996,79.989998,76.129997,78.459999,78.459999,3787800
2021-05-14,79.709999,84.489998,79.550003,84.269997,84.269997,4401700
2021-05-17,84.019997,84.760002,82.709999,84.540001,84.540001,2397600
2021-05-18,84.860001,87.269997,83.949997,84.980003,84.980003,3451600
2021-05-19,82.559998,84.050003,81.559998,83.989998,83.989998,2823700
2021-05-20,84.750000,84.970001,82.930000,84.660004,84.660004,3146100
2021-05-21,85.400002,85.879997,82.680000,82.820000,82.820000,3707200
2021-05-24,83.470001,86.110001,82.250000,85.870003,85.870003,4098200
2021-05-25,87.000000,90.639999,86.989998,89.000000,89.000000,7172000
2021-05-26,90.230003,92.559998,89.559998,92.489998,92.489998,5894000
2021-05-27,92.879997,95.129997,92.709999,94.760002,94.760002,5393400
2021-05-28,94.730003,94.730003,92.129997,93.269997,93.269997,3786700
2021-06-01,94.949997,97.540001,94.910004,96.250000,96.250000,3903500
2021-06-02,96.500000,97.720001,95.349998,96.980003,96.980003,3576400
2021-06-03,96.000000,96.110001,93.919998,94.720001,94.720001,3449800
2021-06-04,95.750000,95.830002,93.300003,94.070000,94.070000,2721400
2021-06-07,94.620003,96.169998,94.239998,94.480003,94.480003,3017200
2021-06-08,94.949997,95.980003,93.940002,94.949997,94.949997,3253300
2021-06-09,95.320000,95.470001,92.559998,92.790001,92.790001,2560300
2021-06-10,93.000000,93.010002,89.589996,90.629997,90.629997,4126600
2021-06-11,88.440002,90.730003,88.139999,90.089996,90.089996,3900100
2021-06-14,90.000000,90.360001,87.389999,87.949997,87.949997,3047700
2021-06-15,88.419998,88.959999,86.690002,86.930000,86.930000,2432900
2021-06-16,87.790001,89.050003,86.949997,88.519997,88.519997,3330400
2021-06-17,88.269997,89.820000,85.970001,86.410004,86.410004,3482800
2021-06-18,85.410004,86.629997,84.500000,85.639999,85.639999,4091200
2021-06-21,86.209999,87.529999,84.959999,87.400002,87.400002,2822900
2021-06-22,86.800003,86.940002,84.519997,85.660004,85.660004,3118900
2021-06-23,85.709999,86.830002,85.709999,86.160004,86.160004,1938500
2021-06-24,86.989998,88.070000,85.970001,86.970001,86.970001,3585200
2021-06-25,87.300003,89.889999,86.739998,89.220001,89.220001,5350300
2021-06-28,88.000000,88.360001,82.849998,83.449997,83.449997,9627200
2021-06-29,83.510002,84.769997,82.430000,83.000000,83.000000,5372500
2021-06-30,83.430000,85.389999,82.800003,85.279999,85.279999,3732600
2021-07-01,85.900002,87.099998,85.330002,85.889999,85.889999,2581700
2021-07-02,86.360001,86.360001,84.970001,86.040001,86.040001,2258700
2021-07-06,87.500000,87.820000,82.580002,82.970001,82.970001,4788200
2021-07-07,82.410004,83.430000,80.300003,80.459999,80.459999,5203700
2021-07-08,78.449997,80.519997,77.110001,79.449997,79.449997,4500500
2021-07-09,80.370003,82.540001,79.790001,82.330002,82.330002,2876800
2021-07-12,81.230003,81.989998,80.019997,81.540001,81.540001,2414900
2021-07-13,80.489998,80.629997,78.430000,78.510002,78.510002,2888900
2021-07-14,79.000000,79.900002,75.970001,76.199997,76.199997,4095400
2021-07-15,75.099998,75.620003,72.379997,74.209999,74.209999,6498100
2021-07-16,75.889999,76.480003,72.019997,72.389999,72.389999,5115500
2021-07-19,68.930000,70.830002,66.900002,69.510002,69.510002,10445500
2021-07-20,69.599998,75.309998,69.349998,74.889999,74.889999,7762900
2021-07-21,75.629997,79.160004,75.629997,78.900002,78.900002,7363200
2021-07-22,78.000000,78.360001,76.300003,77.760002,77.760002,4791600
2021-07-23,78.040001,78.860001,76.959999,77.720001,77.720001,4575200
2021-07-26,77.430000,80.889999,77.089996,80.879997,80.879997,4651600
2021-07-27,79.959999,80.919998,78.989998,80.559998,80.559998,3946900
2021-07-28,81.129997,81.769997,78.070000,80.089996,80.089996,2933700
2021-07-29,80.940002,82.120003,79.930000,80.019997,80.019997,3356200
2021-07-30,78.730003,79.470001,76.410004,76.870003,76.870003,5983200
2021-08-02,76.970001,79.330002,75.080002,75.480003,75.480003,5211900
2021-08-03,75.099998,75.169998,71.790001,74.489998,74.489998,6002300
2021-08-04,73.150002,74.230003,70.739998,72.650002,72.650002,7719100
2021-08-05,72.599998,78.430000,72.570000,78.099998,78.099998,6755800
2021-08-06,78.760002,79.080002,76.519997,78.919998,78.919998,4235400
2021-08-09,78.269997,78.459999,75.790001,77.389999,77.389999,3299800
2021-08-10,77.639999,81.349998,77.220001,80.750000,80.750000,3798200
2021-08-11,79.849998,82.000000,78.610001,81.790001,81.790001,4295800
2021-08-12,81.589996,81.650002,78.849998,80.339996,80.339996,2603400
2021-08-13,80.089996,80.389999,78.220001,78.889999,78.889999,2968900
2021-08-16,77.959999,78.739998,76.050003,78.430000,78.430000,2678600
2021-08-17,77.050003,77.389999,75.190002,76.019997,76.019997,2845200
2021-08-18,75.750000,78.589996,74.400002,77.209999,77.209999,3814100
2021-08-19,76.000000,76.779999,73.510002,76.500000,76.500000,5516500
2021-08-20,76.180000,78.379997,76.010002,78.209999,78.209999,3815200
2021-08-23,79.169998,80.970001,78.849998,80.250000,80.250000,4642100
2021-08-24,81.000000,83.540001,81.000000,82.860001,82.860001,5131000
2021-08-25,82.949997,84.230003,81.199997,83.410004,83.410004,3812200
